full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category
Babatunde Bello,STU/2023/0350,16,Male,Undergraduate,400,56.7,68.9,67.7,77.6,3.66,15.2,73.0,52.3,Medium,1 Activity,58.8,Average
Usman Danjuma,STU/2019/0351,23,Female,Undergraduate,400,66.9,41.7,78.1,74.5,2.77,22.8,59.0,58.3,Medium,None,57.7,Average
Ibrahim Nwachukwu,STU/2023/0352,19,Female,Undergraduate,100,63.0,57.3,24.5,30.5,3.8,5.2,79.9,48.9,Medium,None,46.6,Pass
Oluwaseun Nwosu,STU/2022/0353,26,Male,Undergraduate,200,63.9,71.7,54.8,57.2,4.09,9.0,78.9,59.2,Low,1 Activity,54.0,Average
Chukwuemeka Nwosu,STU/2021/0354,16,Male,Undergraduate,100,93.0,72.9,74.8,48.6,3.25,17.6,61.9,65.1,High,1 Activity,71.6,Good
Sandra Aliyu,STU/2018/0355,23,Female,Undergraduate,200,67.4,37.7,47.8,59.7,3.5,10.6,64.7,75.1,High,None,55.8,Average
Precious Lawal,STU/2020/0356,19,Male,Undergraduate,400,60.1,38.3,78.9,63.1,2.45,0.0,85.3,86.0,Medium,1 Activity,58.4,Average
Lanre Onwudiwe,STU/2021/0357,21,Male,Undergraduate,300,72.5,51.9,52.2,83.1,3.8,3.0,44.8,61.0,Medium,1 Activity,63.6,Good
Dauda Onwudiwe,STU/2023/0358,23,Male,Undergraduate,200,73.9,67.6,44.5,70.0,3.2,5.1,93.9,26.8,Low,1 Activity,60.2,Good
Patience Obi,STU/2018/0359,19,Female,Undergraduate,200,50.6,69.9,80.0,89.1,2.73,5.7,37.3,86.1,Medium,2+ Activities,62.9,Good
Adaeze Nwosu,STU/2018/0360,29,Female,Undergraduate,100,66.6,60.5,36.3,53.1,1.9,19.5,56.9,30.6,Medium,None,40.8,Pass
Oluwaseun Onyekwere,STU/2019/0361,18,Male,Postgraduate,200,65.9,43.0,40.5,40.9,2.56,16.7,70.7,51.6,High,1 Activity,44.7,Pass
Rasheed Bello,STU/2018/0362,29,Male,Undergraduate,300,68.9,89.3,37.1,89.7,2.0,15.3,14.3,50.2,Low,2+ Activities,54.1,Average
Stella Bello,STU/2022/0363,24,Female,Undergraduate,500,85.1,38.7,32.1,72.4,3.69,30.1,,60.2,Low,1 Activity,59.6,Average
Lanre Bello,STU/2018/0364,18,Female,Undergraduate,400,74.5,81.4,58.1,52.4,4.1,23.4,66.9,34.7,Low,1 Activity,63.9,Good
Kola Anikulapo,STU/2022/0365,24,Male,Undergraduate,100,94.1,71.3,44.7,72.4,3.82,20.4,100.0,33.8,Low,1 Activity,58.9,Average
Lanre Chukwu,STU/2023/0366,28,Female,Undergraduate,400,71.8,81.0,64.8,79.2,5.0,2.0,100.0,59.6,Medium,None,74.8,Good
Dauda Onwudiwe,STU/2019/0367,17,Male,Undergraduate,400,100.0,50.0,20.3,67.0,2.59,14.5,54.7,44.0,Low,1 Activity,55.2,Average
Yusuf Anikulapo,STU/2022/0368,29,Male,HND,400,63.7,55.4,32.5,52.6,3.54,16.4,99.6,86.9,High,2+ Activities,61.8,Good
Lanre Adeleke,STU/2023/0369,17,Female,Postgraduate,200,58.1,59.0,56.0,57.5,1.94,10.7,76.2,49.0,Low,None,46.3,Pass
Lanre Suleiman,STU/2021/0370,17,Male,Undergraduate,200,81.9,49.4,84.4,69.9,2.82,,60.8,39.4,Medium,2+ Activities,65.8,Good
Biodun Onwudiwe,STU/2018/0371,21,Female,Postgraduate,200,96.6,62.1,62.6,68.4,1.67,14.4,13.5,93.4,Medium,None,53.3,Average
Vivian Abubakar,STU/2020/0372,18,Male,Undergraduate,100,47.2,86.4,43.2,85.6,3.51,4.2,19.4,69.4,High,1 Activity,66.6,Good
Stella Mohammed,STU/2020/0373,28,Male,Undergraduate,100,68.5,34.7,25.2,60.3,2.68,6.0,55.1,100.0,High,2+ Activities,46.6,Pass
Usman Okonkwo,STU/2022/0374,24,Female,Undergraduate,100,61.0,46.2,42.0,48.6,1.15,32.3,42.6,21.6,High,2+ Activities,43.1,Pass
Halima Ibrahim,STU/2019/0375,19,Male,Undergraduate,200,74.6,44.2,54.2,100.0,2.38,10.6,60.6,64.2,High,2+ Activities,57.1,Average
Wale Ibrahim,STU/2022/0376,16,Female,Postgraduate,400,72.2,56.3,7.8,68.0,4.61,0.0,89.3,69.7,Medium,2+ Activities,54.6,Average
Emeka Onyekwere,STU/2023/0377,19,Male,Undergraduate,200,96.2,55.6,30.7,79.2,3.37,9.2,76.6,60.6,High,1 Activity,61.1,Good
Joy Chukwu,STU/2023/0378,16,Male,Undergraduate,100,,71.9,40.2,73.9,3.69,0.0,37.6,52.8,High,1 Activity,50.4,Average
Lanre Mohammed,STU/2022/0379,29,Male,HND,500,96.7,58.6,49.9,68.2,3.11,21.3,78.1,84.9,Low,1 Activity,68.1,Good
Oluwaseun Garba,STU/2022/0380,20,Female,Undergraduate,500,66.3,63.5,53.9,61.1,2.84,0.0,32.1,69.3,Medium,1 Activity,55.0,Average
Ibrahim Lawal,STU/2021/0381,19,Male,Undergraduate,400,88.7,65.2,42.8,17.3,3.01,2.8,26.4,26.2,Low,1 Activity,51.0,Average
Loveth Onyekwere,STU/2023/0382,23,Female,Undergraduate,500,76.1,62.4,65.1,46.9,3.22,14.0,64.5,42.6,Medium,1 Activity,64.9,Good
Ahmed Onwudiwe,STU/2021/0383,23,Male,Postgraduate,300,100.0,70.7,57.5,70.6,2.01,22.9,34.6,36.7,Medium,1 Activity,59.8,Average
Segun Aliyu,STU/2022/0384,22,Female,Postgraduate,500,45.4,55.8,47.6,18.8,3.69,13.4,39.0,57.6,Medium,2+ Activities,49.7,Pass
Oluwaseun Mohammed,STU/2019/0385,18,Male,Undergraduate,100,51.1,87.6,67.9,66.2,4.01,3.9,79.8,79.0,Medium,1 Activity,64.0,Good
Abdul Bakare,STU/2018/0386,16,Female,Undergraduate,200,100.0,100.0,66.2,76.2,2.82,15.5,71.4,52.4,High,None,70.5,Good
Chukwuemeka Ofili,STU/2023/0387,16,Female,Undergraduate,100,58.8,70.7,25.9,79.2,2.53,10.3,45.7,54.9,Medium,1 Activity,57.7,Average
Rasheed Onyekwere,STU/2020/0388,27,Female,Postgraduate,100,59.9,62.1,54.4,75.2,2.33,23.1,14.4,40.4,High,1 Activity,51.5,Average
Mary Bello,STU/2021/0389,26,Female,Undergraduate,100,56.2,69.2,72.8,81.3,4.58,,36.6,75.2,Medium,1 Activity,68.7,Good
Blessing Okeke,STU/2023/0390,18,Female,Undergraduate,300,92.7,38.2,76.1,92.3,2.59,9.7,100.0,84.7,Medium,2+ Activities,63.0,Good
Chioma Danjuma,STU/2018/0391,21,Female,HND,400,49.4,61.2,62.4,83.6,3.59,20.2,79.2,59.4,Medium,1 Activity,60.4,Good
Oluwaseun Ibrahim,STU/2021/0392,22,Male,Undergraduate,300,72.4,44.8,50.3,68.3,2.83,16.2,90.6,91.6,Low,2+ Activities,55.2,Average
Sandra Nwosu,STU/2023/0393,21,Male,Undergraduate,100,67.2,67.2,63.4,62.7,2.78,24.9,61.4,49.1,Medium,1 Activity,66.0,Good
Ngozi Ofili,STU/2021/0394,29,Female,Undergraduate,400,90.7,44.9,71.2,66.9,2.31,19.9,46.2,32.1,Medium,1 Activity,59.6,Average
Joy Okafor,STU/2021/0395,29,Female,HND,300,61.9,51.8,57.3,60.3,2.13,18.4,77.6,76.1,Medium,2+ Activities,58.4,Average
Emeka Aliyu,STU/2022/0396,21,Female,Undergraduate,200,79.5,24.3,59.6,84.0,3.67,24.6,87.0,58.1,Medium,None,53.0,Average
Lanre Fashola,STU/2022/0397,21,Male,Undergraduate,300,50.9,36.9,50.0,74.7,2.11,14.1,43.0,48.4,Medium,None,47.1,Pass
Mary Okonkwo,STU/2021/0398,28,Male,Undergraduate,200,100.0,64.4,28.3,58.5,3.42,7.8,37.2,61.5,Medium,None,52.5,Average
Wale Aliyu,STU/2021/0399,18,Male,Undergraduate,200,67.7,42.4,51.5,87.5,3.08,15.6,17.0,28.3,Medium,1 Activity,55.2,Average
Halima Aliyu,STU/2020/0400,21,Female,Undergraduate,500,72.2,77.1,41.5,60.0,3.68,11.2,36.5,25.0,Low,None,64.5,Good
Chukwuemeka Okonkwo,STU/2018/0401,23,Male,Undergraduate,200,100.0,40.8,41.5,48.9,2.45,18.8,71.7,61.9,Low,2+ Activities,42.6,Pass
Patience Suleiman,STU/2018/0402,26,Male,HND,200,61.4,66.2,83.7,64.8,3.97,14.5,40.1,68.7,Low,1 Activity,66.0,Good
Lanre Onwudiwe,STU/2019/0403,26,Male,Undergraduate,400,100.0,44.3,74.0,51.0,2.87,17.2,78.3,87.9,Low,1 Activity,70.3,Good
Joy Bello,STU/2019/0404,17,Male,Undergraduate,400,64.6,64.9,21.1,80.9,5.0,4.4,100.0,77.7,Low,None,57.5,Average
Ruth Bakare,STU/2019/0405,20,Female,Undergraduate,100,84.1,30.4,33.3,50.6,1.55,,55.6,72.7,Low,None,43.4,Pass
Babatunde Okeke,STU/2022/0406,29,Male,Undergraduate,100,61.7,49.8,47.7,63.0,5.0,3.7,54.6,85.4,Low,None,59.3,Average
Femi Okonkwo,STU/2022/0407,16,Female,HND,100,47.6,42.8,42.2,81.0,2.89,21.7,68.7,69.8,Medium,1 Activity,44.4,Pass
Kayode Fashola,STU/2020/0408,27,Male,Undergraduate,300,79.5,73.9,61.3,52.9,3.2,21.7,40.6,53.1,Low,1 Activity,61.0,Good
Babatunde Bello,STU/2022/0409,16,Male,Undergraduate,200,83.5,66.3,30.1,72.0,2.46,16.8,,78.2,Medium,1 Activity,51.4,Average
Precious Bakare,STU/2019/0410,20,Male,Undergraduate,100,48.3,35.8,74.2,48.5,1.59,16.5,39.6,77.5,High,1 Activity,56.5,Average
Ngozi Anikulapo,STU/2023/0411,27,Male,Undergraduate,500,,54.3,54.1,69.2,2.52,12.2,26.4,59.8,High,2+ Activities,53.1,Average
Oluwaseun Anikulapo,STU/2021/0412,28,Male,Undergraduate,300,93.6,44.1,48.2,74.6,2.67,9.2,77.5,36.0,Medium,None,52.6,Average
Vivian Bello,STU/2019/0413,18,Male,Undergraduate,100,82.8,75.1,54.7,64.3,3.16,13.9,42.6,24.3,High,2+ Activities,64.0,Good
Femi Suleiman,STU/2020/0414,19,Female,Postgraduate,300,64.9,80.9,46.6,65.6,4.01,29.9,82.8,76.8,Medium,1 Activity,67.9,Good
Chioma Okafor,STU/2021/0415,18,Male,HND,300,61.2,32.1,14.4,72.5,3.17,15.8,68.2,69.6,Low,1 Activity,48.8,Pass
Musa Abubakar,STU/2022/0416,16,Female,Undergraduate,100,100.0,72.9,55.2,60.2,3.19,3.2,54.4,72.4,High,None,69.7,Good
Bello Ibrahim,STU/2021/0417,16,Female,HND,200,46.0,43.2,48.6,80.1,3.35,0.3,75.2,77.6,High,1 Activity,51.5,Average
Rasheed Onwudiwe,STU/2023/0418,27,Female,Undergraduate,400,70.9,53.4,35.9,88.3,1.42,2.5,31.4,42.0,Medium,None,54.0,Average
Biodun Nwachukwu,STU/2020/0419,27,Male,Undergraduate,200,45.6,58.6,76.9,49.3,1.5,11.0,35.5,22.5,Medium,2+ Activities,56.7,Average
Chukwuemeka Suleiman,STU/2022/0420,29,Male,Undergraduate,300,95.7,90.7,68.4,95.0,1.65,24.1,72.8,70.3,Medium,1 Activity,68.8,Good
Tunde Anikulapo,STU/2018/0421,28,Male,Undergraduate,200,71.9,39.9,100.0,59.8,2.66,5.8,0.1,84.0,Low,2+ Activities,54.7,Average
Anthonia Okafor,STU/2019/0422,29,Male,Undergraduate,100,75.2,73.0,71.7,98.9,1.32,25.4,55.4,67.0,Low,1 Activity,65.1,Good
Chukwuemeka Okafor,STU/2023/0423,20,Female,Undergraduate,100,100.0,36.9,42.1,60.1,2.38,,69.8,30.3,Medium,None,50.1,Average
Aisha Adeyemi,STU/2023/0424,21,Male,Undergraduate,200,61.3,35.7,36.9,77.0,1.77,17.9,87.8,64.8,High,1 Activity,56.6,Average
Biodun Danjuma,STU/2019/0425,18,Male,Undergraduate,100,100.0,58.5,45.1,76.9,3.44,17.6,92.9,37.5,Low,None,58.7,Average
Uche Fashola,STU/2020/0426,27,Female,Undergraduate,100,65.0,58.4,41.7,58.4,3.39,18.7,51.7,29.2,High,2+ Activities,55.0,Average
Wale Eze,STU/2020/0427,24,Female,Postgraduate,400,67.8,7.0,57.2,66.2,2.73,10.7,74.3,59.8,Low,2+ Activities,44.6,Pass
Tunde Okeke,STU/2023/0428,20,Female,Undergraduate,500,100.0,78.9,24.2,89.5,1.29,0.0,34.9,63.2,Medium,1 Activity,54.3,Average
Musa Adeyemi,STU/2019/0429,23,Male,Undergraduate,400,69.1,19.5,67.9,59.5,2.79,9.3,43.9,58.0,Medium,1 Activity,58.1,Average
Precious Fashola,STU/2021/0430,28,Male,Undergraduate,400,47.3,55.4,56.8,57.9,3.3,6.9,89.2,68.8,Medium,1 Activity,62.4,Good
Wale Onyekwere,STU/2018/0431,16,Male,Undergraduate,100,77.1,81.9,65.6,45.4,3.73,16.5,54.0,44.2,Low,2+ Activities,64.1,Good
Oluwaseun Onwudiwe,STU/2018/0432,29,Male,HND,500,68.9,97.8,32.1,91.6,4.58,15.8,59.0,61.7,Medium,None,70.1,Good
Rasheed Ofili,STU/2020/0433,20,Male,Undergraduate,100,78.6,51.5,59.9,56.8,4.01,11.8,29.2,50.3,Medium,2+ Activities,59.3,Average
Biodun Fashola,STU/2020/0434,18,Male,Undergraduate,500,69.6,32.2,81.0,85.4,3.15,28.0,65.6,55.0,Low,1 Activity,61.1,Good
Bello Adeyemi,STU/2021/0435,27,Male,Postgraduate,500,100.0,81.2,37.8,54.8,2.74,8.9,73.9,65.4,Low,2+ Activities,67.0,Good
Bello Eze,STU/2020/0436,16,Male,Undergraduate,400,82.0,73.6,37.2,84.9,2.33,0.0,73.1,81.2,Medium,2+ Activities,64.4,Good
Fatima Ibrahim,STU/2018/0437,19,Male,Undergraduate,500,,49.2,69.2,78.7,4.22,15.0,24.7,65.8,Medium,2+ Activities,61.4,Good
Femi Obi,STU/2019/0438,28,Female,Undergraduate,300,74.2,46.9,35.6,61.1,3.15,23.5,80.0,72.5,Low,1 Activity,52.9,Average
Usman Garba,STU/2023/0439,20,Female,HND,200,57.6,45.1,50.3,52.5,3.57,16.3,30.0,60.2,Medium,None,49.4,Pass
Joy Danjuma,STU/2018/0440,22,Female,Undergraduate,200,67.5,51.8,84.5,53.9,2.47,11.1,54.3,69.8,High,1 Activity,60.0,Good
Emeka Okeke,STU/2021/0441,16,Male,Undergraduate,300,55.6,63.7,37.5,53.7,1.88,15.9,14.5,80.7,Low,1 Activity,45.5,Pass
Bello Ibrahim,STU/2019/0442,18,Male,Undergraduate,100,100.0,47.8,85.9,83.1,2.64,28.7,50.5,97.6,Medium,2+ Activities,74.6,Good
Biodun Garba,STU/2019/0443,17,Male,Undergraduate,300,59.6,50.1,48.3,67.7,2.73,7.0,29.9,84.2,Low,None,51.6,Average
Babatunde Nwachukwu,STU/2023/0444,24,Female,Undergraduate,500,84.4,69.5,32.6,46.0,3.17,14.2,43.8,58.9,Low,1 Activity,48.5,Pass
Chukwuemeka Abubakar,STU/2018/0445,25,Female,Undergraduate,100,66.2,31.3,67.1,60.7,2.34,19.4,56.5,82.9,Low,None,47.4,Pass
Emeka Ofili,STU/2019/0446,21,Male,Undergraduate,400,51.1,51.2,57.2,62.8,3.02,16.0,75.7,71.0,Medium,2+ Activities,59.8,Average
Usman Bakare,STU/2019/0447,25,Female,HND,500,75.6,27.8,55.3,28.6,4.06,12.0,74.8,47.9,High,None,45.5,Pass
Mercy Danjuma,STU/2020/0448,18,Male,Postgraduate,500,79.2,60.0,39.6,61.7,1.49,10.6,0.0,71.3,Low,1 Activity,45.0,Pass
Patience Adeyemi,STU/2019/0449,23,Female,Undergraduate,500,82.1,23.1,57.0,77.3,1.09,11.7,72.0,37.4,Medium,None,46.3,Pass
Amina Danjuma,STU/2021/0450,29,Female,Postgraduate,300,24.8,74.0,13.6,62.7,4.12,18.3,60.2,71.3,Medium,1 Activity,45.1,Pass
Chukwuemeka Adeyemi,STU/2019/0451,23,Female,Undergraduate,500,49.8,34.3,59.4,69.3,1.68,17.8,41.0,95.0,Low,2+ Activities,50.0,Average
Yusuf Suleiman,STU/2020/0452,17,Female,Undergraduate,400,89.2,26.1,80.9,73.2,2.66,30.8,33.0,76.5,Medium,None,59.3,Average
Bello Ofili,STU/2022/0453,21,Female,Undergraduate,100,55.4,51.5,19.7,59.2,3.55,1.7,53.4,83.9,High,None,44.2,Pass
Sola Nwachukwu,STU/2022/0454,22,Male,Postgraduate,200,,88.8,46.9,77.4,2.95,28.1,60.8,52.4,High,None,73.5,Good
Ahmed Bello,STU/2021/0455,17,Female,Postgraduate,400,49.4,70.8,37.5,89.8,2.93,12.4,64.4,69.6,High,1 Activity,48.2,Pass
Kayode Nwachukwu,STU/2023/0456,26,Male,Undergraduate,100,85.2,23.4,24.8,39.1,3.07,13.3,50.1,74.0,Medium,1 Activity,39.3,Poor
Ahmed Bakare,STU/2023/0457,25,Female,HND,300,88.8,33.8,13.9,59.1,5.0,20.9,0.0,53.9,High,None,46.4,Pass
Chiamaka Aliyu,STU/2021/0458,17,Female,Undergraduate,300,85.2,50.9,31.4,100.0,4.6,20.8,42.6,73.7,Low,1 Activity,56.9,Average
Joy Onwudiwe,STU/2019/0459,25,Female,HND,100,90.6,98.3,50.2,67.9,2.38,23.3,25.4,69.1,Medium,None,72.5,Good
Musa Danjuma,STU/2019/0460,16,Male,HND,300,,41.1,78.0,64.4,3.95,25.0,100.0,73.9,High,2+ Activities,79.3,Excellent
Chioma Nwosu,STU/2022/0461,23,Female,Undergraduate,400,50.9,41.2,24.5,60.6,3.45,13.7,56.5,39.4,Low,2+ Activities,42.2,Pass
Bello Ibrahim,STU/2022/0462,16,Female,Postgraduate,200,57.8,85.5,60.9,86.7,2.98,25.1,73.5,85.5,Medium,2+ Activities,73.8,Good
Musa Onyekwere,STU/2018/0463,24,Female,Undergraduate,100,88.2,61.5,59.4,49.0,2.18,9.0,,69.0,Medium,2+ Activities,59.2,Average
Joy Okonkwo,STU/2022/0464,26,Male,Undergraduate,100,92.3,77.0,88.4,80.7,3.41,11.6,62.8,57.6,Medium,1 Activity,79.7,Excellent
Sola Nwosu,STU/2022/0465,21,Male,Undergraduate,200,59.9,44.9,66.4,60.3,2.72,12.5,44.6,58.1,Low,1 Activity,52.0,Average
Usman Ofili,STU/2021/0466,22,Male,Undergraduate,500,58.6,56.2,67.6,52.3,2.66,9.8,41.4,59.2,High,1 Activity,55.6,Average
Musa Anikulapo,STU/2018/0467,28,Male,HND,100,60.3,81.7,69.0,61.1,2.31,14.5,4.5,43.4,Medium,None,61.6,Good
Bello Onyekwere,STU/2023/0468,25,Female,Undergraduate,300,43.1,55.4,36.5,64.2,3.9,21.2,58.6,83.8,Low,None,57.7,Average
Aisha Ibrahim,STU/2018/0469,22,Male,Undergraduate,100,49.1,78.2,43.5,56.5,2.31,19.2,62.5,79.3,Low,None,53.7,Average
Sandra Obi,STU/2019/0470,25,Female,Postgraduate,200,49.5,65.0,77.3,83.9,2.31,9.1,53.8,80.6,High,1 Activity,57.9,Average
Femi Chukwu,STU/2019/0471,18,Male,HND,400,66.7,39.3,14.0,52.4,3.7,8.4,58.6,90.3,Low,1 Activity,41.8,Pass
Anthonia Aliyu,STU/2018/0472,17,Male,Undergraduate,400,76.9,57.7,41.4,67.4,2.87,7.2,24.8,63.8,Low,None,43.6,Pass
Oluwaseun Bello,STU/2018/0473,24,Female,HND,100,79.8,75.7,28.4,74.1,2.89,14.7,47.6,26.9,Medium,None,57.8,Average
Wale Ibrahim,STU/2019/0474,23,Female,Undergraduate,200,62.8,70.0,59.7,67.2,3.93,1.4,38.8,72.6,Medium,1 Activity,60.6,Good
Loveth Abubakar,STU/2021/0475,28,Male,Postgraduate,100,63.3,57.3,46.6,78.1,4.18,6.9,71.6,71.8,Medium,None,60.5,Good
Emeka Okonkwo,STU/2021/0476,27,Female,Undergraduate,200,74.2,23.9,67.5,57.6,1.08,10.3,56.0,91.1,Medium,2+ Activities,48.3,Pass
Segun Chukwu,STU/2021/0477,25,Female,Undergraduate,300,45.1,25.7,52.8,75.6,2.88,22.4,,81.6,High,None,45.3,Pass
Stella Danjuma,STU/2021/0478,22,Male,Undergraduate,100,89.3,29.5,24.1,76.1,1.73,12.9,51.0,62.7,High,1 Activity,47.5,Pass
Sola Danjuma,STU/2019/0479,24,Female,Undergraduate,200,95.1,48.8,25.0,81.5,2.65,22.0,29.0,57.1,Low,1 Activity,54.7,Average
Wale Chukwu,STU/2020/0480,19,Female,Undergraduate,200,60.7,51.2,54.9,32.9,2.99,15.5,,80.1,Medium,None,46.1,Pass
Aisha Chukwu,STU/2022/0481,28,Female,Undergraduate,500,64.8,31.4,39.6,73.7,2.68,10.2,69.6,6.9,High,1 Activity,47.4,Pass
Rasheed Eze,STU/2022/0482,19,Male,Undergraduate,500,94.4,76.4,44.3,80.3,2.08,10.5,21.7,64.8,Medium,1 Activity,55.7,Average
Loveth Nwosu,STU/2022/0483,16,Female,HND,100,69.8,35.3,73.8,58.0,2.03,4.7,53.5,78.9,Medium,2+ Activities,51.6,Average
Segun Okonkwo,STU/2022/0484,23,Male,Undergraduate,400,82.6,33.3,70.2,55.7,3.66,33.2,36.3,57.6,Low,1 Activity,53.4,Average
Dauda Okafor,STU/2019/0485,29,Male,Undergraduate,200,70.3,59.6,91.0,53.1,4.38,22.9,,52.4,Medium,None,63.6,Good
Tunde Chukwu,STU/2020/0486,29,Male,Undergraduate,200,100.0,75.5,48.7,47.5,1.15,18.8,100.0,65.9,Medium,None,64.0,Good
Sandra Aliyu,STU/2019/0487,27,Male,Undergraduate,400,80.8,95.0,42.2,76.3,2.71,3.6,86.3,87.0,Medium,None,62.1,Good
Aisha Eze,STU/2020/0488,18,Female,Postgraduate,500,81.9,68.5,63.4,100.0,3.66,10.4,40.0,69.0,High,None,65.2,Good
Emeka Nwosu,STU/2019/0489,22,Female,Postgraduate,500,82.2,86.4,43.8,55.5,2.97,6.2,47.8,46.5,Low,1 Activity,54.4,Average
Grace Nwosu,STU/2018/0490,27,Female,Undergraduate,300,62.0,36.2,44.4,57.1,2.0,15.0,4.4,84.3,Low,2+ Activities,42.9,Pass
Chiamaka Ofili,STU/2020/0491,17,Male,Undergraduate,200,63.7,96.9,51.0,65.3,2.57,6.6,15.2,88.2,Low,1 Activity,65.2,Good
Joy Anikulapo,STU/2022/0492,17,Male,Postgraduate,400,85.8,24.5,88.1,37.8,3.27,8.6,26.8,43.9,Medium,1 Activity,58.4,Average
Chiamaka Anikulapo,STU/2020/0493,22,Male,Undergraduate,200,74.3,48.9,69.1,53.2,2.72,6.8,54.2,100.0,Low,1 Activity,55.2,Average
Segun Okonkwo,STU/2023/0494,21,Female,Postgraduate,300,50.8,68.1,71.2,64.0,2.96,,52.1,60.0,Medium,2+ Activities,56.7,Average
Musa Onwudiwe,STU/2021/0495,18,Male,Undergraduate,200,100.0,29.1,87.2,49.8,2.98,14.6,63.3,79.0,Medium,None,53.0,Average
Grace Lawal,STU/2020/0496,24,Female,Postgraduate,300,89.6,41.3,73.1,85.4,2.53,12.3,,74.5,Medium,2+ Activities,59.6,Average
Chidinma Chukwu,STU/2023/0497,25,Female,Undergraduate,100,72.7,38.5,32.4,43.0,3.73,26.3,62.0,46.0,Low,2+ Activities,41.2,Pass
Usman Danjuma,STU/2021/0498,29,Male,Undergraduate,100,67.1,52.4,72.7,80.3,2.57,20.5,28.0,51.0,High,None,62.0,Good
Usman Mohammed,STU/2023/0499,28,Female,HND,500,75.6,83.6,75.3,90.0,2.1,7.7,63.1,61.4,Medium,None,71.8,Good
Wale Obi,STU/2021/0500,21,Male,Undergraduate,100,81.3,58.3,68.0,71.5,5.0,16.6,70.9,22.6,High,2+ Activities,66.8,Good
Biodun Garba,STU/2018/0501,25,Female,Undergraduate,300,35.4,49.7,51.1,62.7,2.93,8.4,44.3,76.4,Medium,2+ Activities,51.0,Average
Joy Suleiman,STU/2020/0502,25,Female,Undergraduate,100,100.0,6.1,65.9,69.2,0.66,10.8,8.8,22.1,Low,None,37.0,Poor
Oluwaseun Onyekwere,STU/2023/0503,21,Male,Undergraduate,100,57.8,66.4,54.6,57.5,4.13,17.8,84.6,60.3,Low,1 Activity,52.6,Average
Rasheed Obi,STU/2018/0504,16,Male,Undergraduate,100,72.0,72.2,35.4,30.4,4.13,19.3,57.2,46.6,High,1 Activity,54.8,Average
Lanre Lawal,STU/2022/0505,19,Female,Undergraduate,100,72.6,27.4,40.4,48.4,3.41,9.3,,71.6,Medium,1 Activity,45.3,Pass
Blessing Onwudiwe,STU/2020/0506,25,Female,Undergraduate,400,100.0,56.8,69.1,64.8,3.57,,100.0,15.9,Low,1 Activity,70.4,Good
Musa Okonkwo,STU/2019/0507,21,Male,Undergraduate,200,70.4,61.5,36.9,49.0,4.94,14.7,43.0,26.8,Medium,None,62.6,Good
Patience Fashola,STU/2019/0508,21,Female,Postgraduate,500,100.0,75.4,38.8,58.0,2.13,17.5,100.0,48.1,Medium,1 Activity,58.3,Average
Ruth Obi,STU/2019/0509,26,Female,Undergraduate,300,79.3,45.0,70.1,73.1,3.12,8.9,64.4,70.4,Medium,2+ Activities,64.5,Good
Babatunde Bello,STU/2023/0510,27,Female,Undergraduate,200,54.7,42.2,57.7,67.5,4.77,20.5,49.9,64.4,Low,2+ Activities,59.7,Average
Babatunde Adeyemi,STU/2023/0511,20,Male,Undergraduate,300,74.4,49.8,66.5,83.0,4.96,19.1,59.6,81.0,High,None,68.2,Good
Chioma Okeke,STU/2021/0512,16,Female,Undergraduate,300,69.9,81.1,30.4,70.0,2.67,8.8,37.3,62.2,Low,2+ Activities,53.8,Average
Nkechi Adeyemi,STU/2019/0513,23,Female,Undergraduate,400,,76.8,66.0,71.0,4.81,23.0,56.5,59.6,Low,None,65.7,Good
Amina Okonkwo,STU/2022/0514,20,Male,Undergraduate,200,78.4,57.6,41.8,52.9,3.72,23.3,100.0,38.6,Medium,1 Activity,57.9,Average
Gbenga Adeleke,STU/2023/0515,27,Male,Undergraduate,200,72.4,76.4,34.7,42.4,4.35,30.5,32.5,55.5,Low,2+ Activities,63.8,Good
Kola Nwachukwu,STU/2020/0516,27,Female,Undergraduate,400,82.0,15.4,44.9,58.0,3.69,27.7,68.3,59.6,Medium,1 Activity,52.8,Average
Lanre Okonkwo,STU/2023/0517,27,Male,Undergraduate,500,75.5,72.2,82.2,52.6,3.27,6.8,37.0,18.9,Low,None,66.4,Good
Amina Garba,STU/2020/0518,20,Female,Undergraduate,400,60.3,37.9,47.7,62.2,4.99,21.4,50.8,42.2,Medium,None,51.5,Average
Anthonia Okafor,STU/2023/0519,22,Male,Undergraduate,200,85.8,89.8,99.0,46.9,2.52,21.0,100.0,69.3,High,1 Activity,62.4,Good
Mary Fashola,STU/2021/0520,19,Male,Undergraduate,400,60.8,38.8,13.8,79.3,4.71,11.2,68.2,63.6,Medium,2+ Activities,50.1,Average
Ifeoma Okeke,STU/2021/0521,21,Female,Undergraduate,200,16.2,42.7,24.1,52.6,4.85,17.6,73.6,54.9,Medium,2+ Activities,43.2,Pass
Sola Mohammed,STU/2021/0522,28,Male,Undergraduate,200,74.3,68.1,81.5,58.8,4.23,0.0,56.8,47.9,Medium,2+ Activities,59.1,Average
Ifeoma Ibrahim,STU/2022/0523,19,Male,Postgraduate,100,62.0,69.9,86.5,64.7,2.94,0.0,100.0,25.1,Medium,2+ Activities,69.1,Good
