full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category,study_bucket,score_composite,engagement_index,academic_consistency,class_participation_enc,extracurricular_enc,gender_enc,level_enc
Tunde Eze,STU/2018/0791,25,Female,Postgraduate,200,77.6,68.6,78.0,56.3,2.33,0.0,55.2,19.4,Medium,2+ Activities,62.4,Good,,69.28,50.88,3.396,1,2.0,1,2
Patience Chukwu,STU/2023/0792,18,Male,Undergraduate,400,100.0,100.0,56.2,67.5,3.78,12.0,57.0,64.3,High,1 Activity,79.4,Excellent,"(10, 15]",74.36,62.5,1.139,2,1.0,0,4
Vivian Okonkwo,STU/2018/0793,22,Female,Undergraduate,300,42.6,59.2,72.8,79.8,3.28,18.9,36.0,44.6,Medium,2+ Activities,56.1,Average,"(15, 20]",69.79,37.08,1.53,1,2.0,1,3
Nkechi Adeyemi,STU/2018/0794,29,Female,HND,400,73.0,88.6,50.0,40.5,2.69,16.8,96.0,64.7,Low,,58.2,Average,"(15, 20]",61.13,75.5,0.93,0,,1,4
Chioma Okafor,STU/2020/0795,18,Female,Undergraduate,200,59.3,24.6,39.0,99.0,2.21,29.2,71.9,31.1,High,,52.0,Average,"(25, 30]",48.96,63.47,1.525,2,,1,2
Lanre Adeleke,STU/2022/0796,28,Male,Undergraduate,300,81.4,32.6,36.1,85.0,1.82,14.9,56.8,75.6,Low,2+ Activities,46.2,Pass,"(10, 15]",47.1,57.79,0.615,0,2.0,0,3
Ruth Okafor,STU/2019/0797,28,Male,Postgraduate,100,68.9,74.1,26.2,35.9,3.38,13.1,42.0,60.8,Medium,1 Activity,49.8,Pass,"(10, 15]",45.39,46.04,0.734,1,1.0,0,1
Ifeoma Nwachukwu,STU/2020/0798,17,Male,Undergraduate,400,47.5,26.7,46.2,71.3,1.75,23.2,34.2,53.1,Medium,,44.7,Pass,"(20, 25]",45.65,39.08,0.844,1,,0,4
Abdul Garba,STU/2023/0799,27,Male,Postgraduate,200,54.3,54.4,61.2,55.4,4.18,11.0,64.9,26.1,Medium,1 Activity,55.8,Average,"(10, 15]",57.37,52.41,2.117,1,1.0,0,2
Rasheed Ofili,STU/2022/0800,29,Male,Undergraduate,200,57.1,79.0,50.8,58.2,1.86,17.1,43.2,96.2,Low,1 Activity,56.9,Average,"(15, 20]",62.52,44.43,0.643,0,1.0,0,2
Halima Garba,STU/2018/0801,25,Female,Undergraduate,300,96.2,67.0,59.0,71.0,2.84,17.6,58.3,41.9,Low,2+ Activities,62.5,Good,"(15, 20]",64.8,63.88,1.51,0,2.0,1,3
Nkechi Okonkwo,STU/2021/0802,19,Female,Postgraduate,500,95.3,58.2,79.7,82.9,2.21,6.2,7.5,65.3,Medium,,49.6,Pass,"(5, 10]",72.97,34.41,1.101,1,,1,5
Oluwaseun Suleiman,STU/2020/0803,27,Male,Undergraduate,100,66.4,49.9,44.7,57.1,3.03,17.1,41.8,41.0,High,1 Activity,47.3,Pass,"(15, 20]",49.62,46.52,1.181,2,1.0,0,1
Aisha Nwosu,STU/2019/0804,23,Male,Undergraduate,400,94.1,61.6,100.0,57.3,3.02,31.5,52.3,100.0,Medium,1 Activity,77.7,Excellent,"(30, 35]",75.89,64.88,0.751,1,1.0,0,4
Adaeze Ibrahim,STU/2019/0805,28,Male,Postgraduate,200,68.9,68.4,70.1,71.3,3.4,23.1,79.2,63.0,Medium,2+ Activities,68.9,Good,"(20, 25]",69.81,67.97,1.091,1,2.0,0,2
Kayode Ibrahim,STU/2022/0806,24,Female,Undergraduate,200,66.1,46.1,51.1,74.7,1.63,7.3,31.9,47.7,Medium,2+ Activities,37.3,Poor,"(5, 10]",55.25,38.21,1.134,1,2.0,1,2
Precious Ofili,STU/2020/0807,22,Male,Undergraduate,100,73.0,64.7,50.6,47.9,2.31,14.2,17.9,72.1,Low,,46.5,Pass,,54.86,35.58,0.75,0,,0,1
Amina Nwachukwu,STU/2018/0808,16,Female,Undergraduate,200,77.1,77.4,34.8,94.3,3.87,19.5,66.1,75.0,Low,1 Activity,68.1,Good,"(15, 20]",64.58,62.68,0.85,0,1.0,1,2
Stella Obi,STU/2022/0809,18,Male,Postgraduate,300,62.0,54.0,54.5,54.1,3.59,17.4,53.4,67.9,Low,2+ Activities,53.2,Average,"(15, 20]",54.22,51.1,0.787,0,2.0,0,3
Oluwaseun Bakare,STU/2023/0810,28,Female,Postgraduate,100,71.4,59.2,11.8,81.4,0.75,13.2,56.5,53.5,Medium,1 Activity,31.0,Poor,"(10, 15]",45.79,54.07,0.84,1,1.0,1,1
Blessing Okafor,STU/2019/0811,27,Female,Postgraduate,200,86.2,66.7,80.1,72.7,3.34,19.5,13.2,68.8,Low,2+ Activities,70.0,Good,"(15, 20]",73.56,38.96,1.054,0,2.0,1,2
Dauda Okafor,STU/2023/0812,29,Male,Undergraduate,500,74.3,67.9,0.0,75.3,2.07,14.9,38.8,56.9,Low,2+ Activities,48.7,Pass,"(10, 15]",42.59,46.66,0.736,0,2.0,0,5
Joy Bakare,STU/2020/0813,24,Female,Postgraduate,100,72.8,73.8,55.8,54.4,2.47,14.2,52.9,59.5,Medium,,53.0,Average,"(10, 15]",61.75,53.02,1.021,1,,1,1
Gbenga Nwosu,STU/2021/0814,27,Male,Undergraduate,400,80.9,39.7,32.1,35.7,2.8,12.9,89.7,44.3,High,,51.7,Average,"(10, 15]",35.66,73.42,0.787,2,,0,4
Ruth Ibrahim,STU/2023/0815,16,Female,Undergraduate,200,84.0,48.5,41.0,64.6,4.4,21.8,28.0,30.7,High,2+ Activities,54.0,Average,"(20, 25]",49.52,46.47,1.562,2,2.0,1,2
Gbenga Suleiman,STU/2018/0816,24,Male,Undergraduate,300,70.9,49.1,43.6,64.7,2.06,20.9,68.5,71.3,Medium,,49.5,Pass,"(20, 25]",50.8,62.49,0.703,1,,0,3
Emeka Suleiman,STU/2019/0817,23,Female,HND,200,63.5,41.7,93.5,48.7,1.74,12.8,6.0,72.1,Low,,49.0,Pass,"(10, 15]",64.17,26.32,0.878,0,,1,2
Sola Lawal,STU/2020/0818,16,Female,Postgraduate,100,75.4,25.6,32.9,80.6,3.41,1.8,64.0,85.9,Medium,1 Activity,43.0,Pass,"(0, 5]",42.27,55.22,0.486,1,1.0,1,1
Ibrahim Danjuma,STU/2021/0819,21,Female,Undergraduate,100,43.3,0.0,73.3,64.1,2.97,14.3,92.7,61.0,Low,2+ Activities,50.3,Average,"(10, 15]",45.34,64.11,0.731,0,2.0,1,1
Chidinma Abubakar,STU/2019/0820,20,Female,Undergraduate,100,68.2,79.5,78.2,51.2,4.09,8.3,58.5,55.7,Medium,,66.9,Good,"(5, 10]",71.9,52.48,1.268,1,,1,1
Lanre Adeyemi,STU/2021/0821,21,Male,HND,100,27.5,30.0,8.2,74.9,2.68,10.2,38.3,31.8,High,1 Activity,34.0,Poor,"(10, 15]",32.51,30.8,0.991,2,1.0,0,1
Bello Nwosu,STU/2019/0822,25,Male,Undergraduate,300,41.8,86.2,42.7,75.4,4.09,13.0,85.8,59.2,Medium,,64.6,Good,"(10, 15]",66.1,59.77,1.098,1,,0,3
Oluwaseun Okonkwo,STU/2022/0823,27,Male,HND,400,39.1,71.3,84.7,52.8,3.01,5.5,63.7,67.2,High,,53.0,Average,"(5, 10]",72.04,45.41,1.056,2,,0,4
Grace Anikulapo,STU/2022/0824,28,Male,Undergraduate,400,90.9,50.7,28.7,86.0,3.48,14.2,58.8,23.6,Medium,1 Activity,56.9,Average,,50.72,61.4,2.062,1,1.0,0,4
Wale Fashola,STU/2022/0825,28,Female,Undergraduate,300,72.3,69.1,79.0,100.0,4.46,16.3,29.6,81.4,Medium,,73.6,Good,"(15, 20]",80.78,41.92,0.98,1,,1,3
Chidinma Okafor,STU/2020/0826,28,Male,Undergraduate,100,49.3,65.7,54.6,46.5,2.85,14.2,64.1,45.8,Low,2+ Activities,49.4,Pass,,56.46,51.57,1.206,0,2.0,0,1
Babatunde Nwosu,STU/2022/0827,20,Female,Undergraduate,200,80.8,38.2,53.8,61.9,3.94,13.9,37.9,56.1,High,2+ Activities,58.0,Average,"(10, 15]",50.36,47.82,0.882,2,2.0,1,2
Aisha Eze,STU/2020/0828,21,Female,HND,200,89.8,57.7,56.4,70.7,2.45,18.1,62.8,72.0,Low,2+ Activities,56.4,Average,"(15, 20]",60.43,64.37,0.828,0,2.0,1,2
Rasheed Okeke,STU/2018/0829,20,Female,Undergraduate,100,71.4,40.4,61.9,100.0,3.2,8.7,56.2,59.9,High,,66.0,Good,"(5, 10]",63.9,52.42,1.049,2,,1,1
Nkechi Abubakar,STU/2022/0830,26,Male,Postgraduate,300,68.6,69.8,35.9,52.5,1.7,16.7,82.1,88.1,Medium,1 Activity,54.5,Average,"(15, 20]",51.91,67.2,0.583,1,1.0,0,3
Segun Danjuma,STU/2020/0831,27,Female,Undergraduate,300,76.2,45.1,49.8,49.0,2.55,24.7,40.6,72.6,Low,,51.8,Average,"(20, 25]",47.96,51.39,0.652,0,,1,3
Chidinma Lawal,STU/2019/0832,20,Female,Undergraduate,200,88.2,56.3,62.4,48.9,2.05,12.0,51.3,57.0,High,,52.7,Average,"(10, 15]",56.89,56.11,0.981,2,,1,2
Usman Mohammed,STU/2020/0833,19,Male,Undergraduate,200,63.6,55.5,58.5,85.8,4.1,29.2,75.0,0.0,Low,1 Activity,65.7,Good,"(25, 30]",64.28,66.31,64.28,0,1.0,0,2
Mercy Anikulapo,STU/2023/0834,18,Female,Undergraduate,400,72.5,60.2,62.0,53.0,4.56,14.4,49.1,79.9,High,1 Activity,67.3,Good,"(10, 15]",59.12,51.1,0.731,2,1.0,1,4
Usman Garba,STU/2020/0835,18,Female,HND,400,67.4,87.9,40.6,50.5,2.68,7.2,54.5,36.4,Low,,59.2,Average,"(5, 10]",59.63,49.87,1.594,0,,1,4
Kayode Nwosu,STU/2023/0836,19,Male,Undergraduate,200,43.0,53.7,67.6,68.9,2.3,20.8,44.8,77.0,High,,52.8,Average,"(20, 25]",63.06,42.23,0.808,2,,0,2
Blessing Garba,STU/2019/0837,24,Male,Undergraduate,500,88.5,79.9,57.5,70.2,1.82,13.1,50.9,69.8,Medium,2+ Activities,64.7,Good,"(10, 15]",68.52,56.37,0.968,1,2.0,0,5
Ifeoma Bakare,STU/2020/0838,17,Male,Undergraduate,500,100.0,66.6,23.4,83.2,3.24,22.4,71.8,56.0,Medium,1 Activity,66.5,Good,"(20, 25]",53.47,73.37,0.938,1,1.0,0,5
Aisha Chukwu,STU/2019/0839,24,Male,Undergraduate,200,56.3,83.5,44.4,66.6,2.46,17.3,100.0,79.1,Medium,2+ Activities,59.7,Average,"(15, 20]",63.64,72.66,0.795,1,2.0,0,2
Dauda Obi,STU/2023/0840,16,Male,Undergraduate,200,71.4,51.9,37.1,69.2,2.51,11.4,13.0,70.4,Low,2+ Activities,56.6,Average,"(10, 15]",50.31,31.72,0.705,0,2.0,0,2
Loveth Okafor,STU/2021/0841,29,Male,HND,300,56.8,70.5,36.8,63.2,4.47,26.2,23.4,66.6,High,1 Activity,58.9,Average,"(25, 30]",55.19,37.47,0.816,2,1.0,0,3
Ngozi Onwudiwe,STU/2022/0842,16,Male,Undergraduate,500,74.4,56.9,45.5,42.8,2.73,10.0,51.5,25.7,Low,,43.7,Pass,"(5, 10]",48.82,51.4,1.828,0,,0,5
Grace Lawal,STU/2023/0843,20,Male,Undergraduate,400,99.1,4.2,67.3,61.6,3.53,0.0,56.2,60.8,Medium,2+ Activities,49.9,Pass,,43.79,57.83,0.709,1,2.0,0,4
Mary Chukwu,STU/2018/0844,21,Female,Undergraduate,100,62.6,38.4,42.5,66.1,3.05,21.0,49.6,35.1,Medium,,43.4,Pass,"(20, 25]",46.96,50.58,1.301,1,,1,1
Dauda Bello,STU/2020/0845,21,Female,HND,200,71.7,68.5,59.5,57.5,1.78,16.8,41.2,38.1,Medium,,53.2,Average,"(15, 20]",62.15,47.71,1.59,1,,1,2
Kayode Suleiman,STU/2019/0846,18,Female,Undergraduate,300,39.6,67.3,56.2,38.4,1.34,24.3,24.2,52.8,Low,2+ Activities,44.8,Pass,"(20, 25]",55.64,32.08,1.034,0,2.0,1,3
Abdul Mohammed,STU/2022/0847,22,Male,Undergraduate,300,60.0,34.7,39.4,45.7,3.44,6.9,39.7,89.3,Low,1 Activity,46.0,Pass,"(5, 10]",39.33,40.15,0.436,0,1.0,0,3
Ibrahim Ofili,STU/2020/0848,24,Male,Undergraduate,100,37.7,62.0,48.1,64.3,4.53,12.0,75.4,67.3,Low,,61.9,Good,"(10, 15]",57.02,53.01,0.835,0,,0,1
Sandra Ibrahim,STU/2022/0849,26,Male,Undergraduate,400,79.7,67.1,72.3,80.9,3.28,11.1,57.3,68.6,High,1 Activity,66.8,Good,"(10, 15]",72.63,56.26,1.044,2,1.0,0,4
Grace Bakare,STU/2021/0850,27,Male,Undergraduate,300,87.0,57.4,58.0,93.6,3.56,21.5,71.9,75.4,Low,1 Activity,66.0,Good,"(20, 25]",66.69,69.22,0.873,0,1.0,0,3
Blessing Nwachukwu,STU/2020/0851,25,Male,Undergraduate,400,68.0,71.1,66.0,61.9,2.19,19.2,24.9,42.5,High,,55.8,Average,"(15, 20]",66.76,39.25,1.535,2,,0,4
Femi Nwachukwu,STU/2019/0852,23,Female,Postgraduate,400,77.1,68.7,80.4,52.8,3.91,15.7,91.1,28.5,Low,,57.9,Average,"(15, 20]",69.4,73.91,2.353,0,,1,4
Anthonia Okeke,STU/2021/0853,21,Male,Undergraduate,400,66.1,57.4,63.7,58.7,3.9,15.8,41.0,24.9,Low,,59.0,Average,"(15, 20]",60.24,45.6,2.326,0,,0,4
Uche Suleiman,STU/2020/0854,27,Female,Postgraduate,200,85.3,48.8,16.6,47.2,2.37,4.8,66.9,64.6,Medium,1 Activity,43.9,Pass,"(0, 5]",35.52,60.64,0.541,1,1.0,1,2
Musa Eze,STU/2022/0855,23,Female,Undergraduate,300,74.3,76.8,60.4,78.4,3.49,20.1,51.9,79.7,Low,2+ Activities,66.7,Good,"(20, 25]",70.64,54.94,0.875,0,2.0,1,3
Grace Aliyu,STU/2021/0856,27,Male,Undergraduate,100,36.3,66.3,42.6,100.0,1.41,14.2,41.5,78.3,Medium,1 Activity,52.5,Average,,65.24,36.37,0.823,1,1.0,0,1
Chioma Garba,STU/2019/0857,20,Male,Undergraduate,300,88.9,33.1,91.2,53.2,3.65,32.3,65.8,43.4,High,1 Activity,65.4,Good,"(30, 35]",61.37,70.34,1.382,2,1.0,0,3
Abdul Okeke,STU/2020/0858,23,Female,Undergraduate,100,65.0,62.0,63.0,44.7,2.48,17.8,70.0,87.1,Low,,50.0,Average,"(15, 20]",58.08,60.43,0.659,0,,1,1
Abdul Mohammed,STU/2022/0859,25,Male,Postgraduate,300,49.1,37.3,43.1,82.1,1.9,19.1,100.0,100.0,High,,52.7,Average,"(15, 20]",50.82,71.1,0.503,2,,0,3
Sola Obi,STU/2022/0860,27,Male,Undergraduate,100,64.1,40.6,66.3,70.4,3.36,17.8,71.0,72.2,Medium,,56.0,Average,"(15, 20]",58.33,60.66,0.797,1,,0,1
Emeka Garba,STU/2023/0861,19,Female,Undergraduate,100,37.8,46.3,56.8,70.7,1.41,8.4,70.6,89.7,Low,,47.9,Pass,"(5, 10]",56.6,49.44,0.624,0,,1,1
Abdul Garba,STU/2021/0862,25,Male,Undergraduate,100,49.5,58.8,20.6,92.0,3.31,24.0,83.6,77.5,Low,,51.0,Average,"(20, 25]",51.82,64.65,0.66,0,,0,1
Usman Onwudiwe,STU/2020/0863,23,Female,HND,100,74.6,64.7,72.3,41.8,1.98,13.6,68.3,55.4,High,1 Activity,58.7,Average,"(10, 15]",62.02,61.06,1.1,2,1.0,1,1
Loveth Nwosu,STU/2023/0864,25,Female,Undergraduate,400,76.1,50.6,46.9,41.3,1.79,12.5,54.0,46.7,Low,,45.7,Pass,"(10, 15]",46.8,54.0,0.981,0,,1,4
Bello Bello,STU/2022/0865,27,Male,HND,400,77.5,51.4,83.4,62.3,3.05,12.9,63.1,27.7,High,2+ Activities,56.9,Average,"(10, 15]",66.93,59.1,2.332,2,2.0,0,4
Kayode Suleiman,STU/2021/0866,17,Male,Undergraduate,300,72.1,48.9,52.5,66.1,2.84,13.5,76.4,51.1,Medium,2+ Activities,59.7,Average,"(10, 15]",54.64,64.33,1.049,1,2.0,0,3
Femi Okeke,STU/2018/0867,27,Male,Undergraduate,100,59.5,76.9,83.8,59.0,4.31,10.1,89.8,55.3,Low,1 Activity,66.0,Good,"(10, 15]",75.18,66.12,1.335,0,1.0,0,1
Chioma Onwudiwe,STU/2022/0868,27,Male,Undergraduate,100,71.0,6.6,63.5,100.0,1.84,15.7,56.5,55.7,Medium,,47.2,Pass,"(15, 20]",52.71,54.78,0.93,1,,0,1
Patience Bello,STU/2021/0869,20,Male,Undergraduate,100,64.1,52.4,74.5,59.7,4.24,13.2,7.7,57.7,High,2+ Activities,62.9,Good,"(10, 15]",63.06,27.48,1.074,2,2.0,0,1
Chukwuemeka Eze,STU/2018/0870,24,Female,Undergraduate,100,42.7,85.8,45.2,55.6,1.98,12.5,88.7,14.1,Medium,2+ Activities,57.0,Average,"(10, 15]",62.01,61.33,4.107,1,2.0,1,1
Mary Garba,STU/2021/0871,19,Male,Undergraduate,400,58.1,67.3,62.1,67.1,3.83,17.9,35.1,75.6,Medium,,58.6,Average,"(15, 20]",65.17,40.95,0.851,1,,0,4
Bello Okafor,STU/2022/0872,26,Male,HND,100,88.0,80.8,20.5,81.5,4.0,14.6,13.6,77.9,High,1 Activity,60.8,Good,"(10, 15]",56.86,38.07,0.721,2,1.0,0,1
Yusuf Bakare,STU/2018/0873,21,Female,Postgraduate,200,100.0,21.4,52.5,52.7,3.29,9.6,11.2,67.4,Low,2+ Activities,51.8,Average,"(5, 10]",41.66,38.8,0.609,0,2.0,1,2
Uche Mohammed,STU/2021/0874,16,Female,Postgraduate,100,83.7,35.6,25.3,62.5,2.29,7.9,100.0,36.6,High,1 Activity,52.7,Average,"(5, 10]",38.2,77.74,1.016,2,1.0,1,1
Biodun Ofili,STU/2020/0875,24,Female,Undergraduate,100,99.8,67.3,32.1,82.0,1.63,14.8,76.9,67.3,High,,58.3,Average,"(10, 15]",56.9,73.32,0.833,2,,1,1
Dauda Suleiman,STU/2018/0876,16,Male,Undergraduate,300,73.5,85.9,37.2,82.9,1.24,8.0,56.5,60.5,Medium,1 Activity,56.3,Average,"(5, 10]",65.67,52.97,1.068,1,1.0,0,3
Vivian Mohammed,STU/2021/0877,20,Female,Undergraduate,300,100.0,37.5,68.2,68.7,4.67,7.5,36.2,69.5,High,1 Activity,59.9,Average,"(5, 10]",57.58,50.6,0.817,2,1.0,1,3
Vivian Okonkwo,STU/2020/0878,19,Female,Postgraduate,100,100.0,51.0,52.1,100.0,2.73,7.6,56.4,91.0,Medium,1 Activity,57.4,Average,"(5, 10]",63.69,60.73,0.692,1,1.0,1,1
Grace Danjuma,STU/2018/0879,28,Male,HND,100,40.8,65.2,55.6,98.7,2.01,14.2,76.5,56.4,Medium,2+ Activities,61.1,Good,,69.74,55.22,1.215,1,2.0,0,1
Gbenga Nwosu,STU/2021/0880,27,Male,Undergraduate,200,76.0,31.9,51.5,41.1,1.97,23.5,47.6,63.6,Medium,1 Activity,43.3,Pass,"(20, 25]",42.04,54.43,0.651,1,1.0,0,2
Ruth Chukwu,STU/2022/0881,28,Female,Undergraduate,100,73.6,67.4,76.6,36.2,3.15,16.8,35.3,42.7,Medium,,53.6,Average,"(15, 20]",63.28,45.33,1.448,1,,1,1
Chukwuemeka Danjuma,STU/2018/0882,28,Male,Undergraduate,100,64.4,9.8,55.1,78.5,2.64,21.1,83.4,78.4,Medium,1 Activity,54.4,Average,"(20, 25]",45.1,68.05,0.568,1,1.0,0,1
Gbenga Onyekwere,STU/2018/0883,29,Male,Undergraduate,500,80.9,66.9,60.0,88.2,1.27,13.4,54.4,74.1,Low,1 Activity,58.4,Average,"(10, 15]",69.46,55.94,0.925,0,1.0,0,5
Patience Aliyu,STU/2020/0884,18,Male,Undergraduate,300,72.7,40.1,43.6,61.2,3.78,15.1,50.2,64.3,Medium,,53.6,Average,"(15, 20]",46.78,51.94,0.716,1,,0,3
Amina Nwachukwu,STU/2023/0885,28,Male,Undergraduate,300,58.8,49.9,78.0,56.5,3.3,27.2,69.8,38.9,Low,1 Activity,54.1,Average,"(25, 30]",62.79,61.61,1.574,0,1.0,0,3
Ike Mohammed,STU/2023/0886,21,Female,Postgraduate,200,71.5,69.7,79.5,51.1,4.66,20.6,1.6,46.3,Low,2+ Activities,59.8,Average,"(20, 25]",68.97,29.12,1.458,0,2.0,1,2
Ahmed Mohammed,STU/2021/0887,17,Female,Undergraduate,200,93.7,66.1,54.3,45.1,4.03,21.5,66.9,23.4,Medium,1 Activity,67.5,Good,"(20, 25]",56.13,68.73,2.3,1,1.0,1,2
Kayode Ibrahim,STU/2022/0888,18,Female,Undergraduate,300,75.3,57.9,43.3,84.3,0.5,11.9,65.3,46.1,High,,48.2,Pass,"(10, 15]",58.66,59.21,1.245,2,,1,3
Ike Nwachukwu,STU/2020/0889,20,Male,HND,300,83.3,75.4,22.7,58.5,4.28,14.0,20.5,74.2,Medium,,54.8,Average,"(10, 15]",50.1,39.91,0.666,1,,0,3
Halima Ofili,STU/2018/0890,24,Male,Undergraduate,400,67.0,27.4,37.6,70.1,4.09,17.2,6.5,67.9,Medium,1 Activity,50.0,Average,"(15, 20]",42.16,29.08,0.612,1,1.0,0,4
Babatunde Adeleke,STU/2023/0891,17,Male,Undergraduate,100,71.4,61.7,11.7,34.0,2.34,9.1,40.9,63.2,Low,1 Activity,37.1,Poor,"(5, 10]",34.78,44.9,0.542,0,1.0,0,1
Ngozi Onyekwere,STU/2020/0892,25,Male,Undergraduate,300,50.2,43.8,36.8,82.0,2.61,0.0,59.6,89.7,Medium,,54.1,Average,,50.55,44.86,0.557,1,,0,3
Lanre Abubakar,STU/2020/0893,23,Male,Undergraduate,200,63.0,74.5,62.1,75.0,3.37,17.2,62.1,66.1,Low,1 Activity,63.3,Good,"(15, 20]",69.67,55.68,1.038,0,1.0,0,2
Chidinma Bello,STU/2020/0894,29,Female,Undergraduate,400,70.2,70.4,54.0,42.1,2.09,14.2,97.6,48.5,Low,,53.8,Average,,56.76,74.59,1.147,0,,1,4
Sandra Garba,STU/2018/0895,17,Male,Postgraduate,300,49.0,71.0,100.0,69.4,2.78,14.4,59.6,46.0,Medium,,69.1,Good,"(10, 15]",82.2,49.3,1.749,1,,0,3
Chiamaka Suleiman,STU/2019/0896,26,Female,Undergraduate,300,57.1,87.6,47.6,65.1,3.9,9.2,20.0,55.4,Medium,1 Activity,62.3,Good,"(5, 10]",65.97,30.2,1.17,1,1.0,1,3
Grace Abubakar,STU/2020/0897,28,Male,Undergraduate,100,77.6,78.3,46.0,57.3,3.47,11.4,48.7,51.0,Low,,65.3,Good,"(10, 15]",60.13,51.43,1.156,0,,0,1
Sandra Eze,STU/2019/0898,20,Male,Undergraduate,300,74.3,55.2,76.3,15.7,2.4,0.0,22.5,79.1,Medium,2+ Activities,47.6,Pass,,53.76,33.54,0.671,1,2.0,0,3
Wale Nwachukwu,STU/2023/0899,22,Male,Undergraduate,100,71.4,58.0,16.5,53.8,3.92,14.2,50.5,68.4,High,,60.5,Good,,40.35,51.4,0.581,2,,0,1
Sandra Lawal,STU/2022/0900,23,Female,HND,200,61.2,68.8,25.4,70.1,3.27,5.1,90.2,53.6,Low,1 Activity,55.8,Average,"(5, 10]",51.76,65.16,0.948,0,1.0,1,2
Babatunde Aliyu,STU/2023/0901,16,Female,HND,100,73.0,60.5,68.3,55.7,3.24,8.4,66.5,54.4,Low,1 Activity,65.3,Good,"(5, 10]",62.42,57.95,1.127,0,1.0,1,1
Bello Abubakar,STU/2022/0902,21,Female,Undergraduate,300,59.9,70.7,51.1,61.2,2.54,4.7,37.0,74.1,Medium,1 Activity,57.3,Average,"(0, 5]",60.48,38.04,0.805,1,1.0,1,3
Oluwaseun Adeyemi,STU/2022/0903,16,Male,Postgraduate,100,84.7,17.9,51.6,90.4,2.99,3.8,69.8,80.2,Low,2+ Activities,52.0,Average,"(0, 5]",49.5,61.58,0.61,0,2.0,0,1
Chukwuemeka Obi,STU/2023/0904,17,Male,Undergraduate,200,93.4,91.9,36.3,63.7,2.3,14.2,35.6,23.1,High,1 Activity,53.3,Average,,62.61,50.55,2.598,2,1.0,0,2
Emeka Onyekwere,STU/2021/0905,16,Female,HND,400,80.7,59.1,59.8,29.4,1.25,19.1,0.0,56.6,Medium,1 Activity,38.9,Poor,"(15, 20]",51.96,30.58,0.902,1,1.0,1,4
Musa Anikulapo,STU/2018/0906,26,Male,Undergraduate,100,91.1,28.8,38.8,61.9,2.75,9.9,24.2,61.8,Medium,1 Activity,39.2,Poor,"(5, 10]",41.08,42.73,0.654,1,1.0,0,1
Precious Obi,STU/2019/0907,20,Female,HND,300,72.6,41.6,56.5,66.7,2.89,5.1,66.5,71.0,Medium,1 Activity,51.8,Average,"(5, 10]",53.83,56.73,0.748,1,1.0,1,3
Gbemi Bello,STU/2021/0908,25,Male,Postgraduate,200,86.5,19.7,31.8,51.0,3.12,20.0,74.3,62.3,Medium,2+ Activities,53.0,Average,"(15, 20]",32.36,69.77,0.511,1,2.0,0,2
Adaeze Abubakar,STU/2019/0909,24,Male,Undergraduate,100,71.4,38.4,51.4,77.5,4.09,15.0,97.9,68.1,Low,1 Activity,58.2,Average,"(10, 15]",53.38,75.37,0.773,0,1.0,0,1
Oluwaseun Okonkwo,STU/2018/0910,21,Male,Undergraduate,400,53.6,55.4,95.5,40.1,2.41,0.0,63.5,55.3,High,1 Activity,53.4,Average,,67.62,47.83,1.201,2,1.0,0,4
Halima Onwudiwe,STU/2020/0911,26,Male,HND,100,76.4,85.3,46.5,62.7,2.67,22.0,88.7,43.9,Medium,2+ Activities,65.2,Good,"(20, 25]",64.13,74.6,1.428,1,2.0,0,1
Halima Okeke,STU/2023/0912,26,Female,HND,200,54.1,65.4,52.4,39.9,3.69,14.6,70.8,75.7,Low,2+ Activities,51.8,Average,"(10, 15]",53.82,56.5,0.702,0,2.0,1,2
Kayode Suleiman,STU/2021/0913,16,Male,Undergraduate,300,100.0,62.2,50.9,60.0,2.32,20.2,78.4,76.3,Medium,1 Activity,67.8,Good,"(20, 25]",57.13,75.93,0.739,1,1.0,0,3
Fatima Bakare,STU/2018/0914,28,Male,Postgraduate,300,66.0,37.6,58.5,77.0,3.14,12.2,82.5,73.0,Low,1 Activity,55.7,Average,"(10, 15]",55.81,65.12,0.754,0,1.0,0,3
Segun Bakare,STU/2023/0915,16,Male,Undergraduate,300,83.6,43.2,64.4,62.3,2.63,26.8,67.2,76.6,Low,,61.8,Good,"(25, 30]",56.46,67.61,0.728,0,,0,3
Grace Onyekwere,STU/2021/0916,17,Male,Undergraduate,200,71.8,44.6,60.1,61.3,2.78,14.2,81.9,40.6,Medium,1 Activity,54.0,Average,,54.98,67.22,1.322,1,1.0,0,2
Chiamaka Adeyemi,STU/2022/0917,24,Female,Undergraduate,100,49.8,45.3,60.6,65.5,3.68,0.0,37.5,49.9,Medium,1 Activity,51.9,Average,,56.47,33.69,1.109,1,1.0,1,1
Sola Ibrahim,STU/2021/0918,18,Female,Undergraduate,400,37.8,51.7,51.4,66.3,2.66,6.9,0.0,82.4,Medium,2+ Activities,51.9,Average,"(5, 10]",55.23,13.64,0.662,1,2.0,1,4
